Timestamp,Record Type,Instrument,Ob Position,Quantity Diff,Ob Command,Change Reason,Order Number,Premium (256ths),Quantity,Bid/Ask,Total Volume,Display Quantity,Sequence,Source,Instrument Name,Deal Source,Aggressive,Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask
07:44:11:456280 20180108,TRADE,,,,,,605794000006E2E7,25560,4.0,A,,,17895,T,2_YEAR,1.0,0.0,,,,,,
07:44:11:456299 20180108,OB_CHANGE,2_YEAR,1.0,-1.0,DELETE,3.0,605794000006E2D6,25560,0.0,B,0.0,,17897,OC,,,,,,,,,
07:44:11:456299 20180108,WORKUP,,,,,,,25560,,,,,17896,WU,2_YEAR,,,11.0,1.0,0.0,1.0,0.0,2.0
07:44:11:456299 20180108,TRADE,,,,,,605794000006E2D6,25560,1.0,B,,,17898,T,2_YEAR,1.0,1.0,,,,,,
07:44:11:456299 20180108,TRADE,,,,,,605794000006E2E8,25560,1.0,A,,,17899,T,2_YEAR,1.0,0.0,,,,,,
07:44:11:456373 20180108,OB_CHANGE,2_YEAR,63.0,-1.0,DELETE,1.0,605794000006DE1D,25562,0.0,A,0.0,,17900,OC,,,,,,,,,
07:44:11:456379 20180108,OB_CHANGE,2_YEAR,1.0,2.0,ADD,6.0,605794000006E2EB,25560,2.0,A,0.0,,17901,OC,,,,,,,,,
07:44:11:456412 20180108,OB_CHANGE,2_YEAR,73.0,-3.0,DELETE,1.0,605794000006E2E2,25558,0.0,B,0.0,,17902,OC,,,,,,,,,
07:44:11:456416 20180108,OB_CHANGE,2_YEAR,71.0,-2.0,DELETE,1.0,605794000006E2DE,25558,0.0,B,0.0,,17903,OC,,,,,,,,,
07:44:11:456472 20180108,OB_CHANGE,2_YEAR,67.0,1.0,ADD,6.0,605794000006E2F4,25562,1.0,A,0.0,,17904,OC,,,,,,,,,
07:44:11:456511 20180108,OB_CHANGE,2_YEAR,68.0,2.0,ADD,6.0,605794000006E2F7,25562,2.0,A,0.0,,17905,OC,,,,,,,,,
07:44:11:456518 20180108,OB_CHANGE,2_YEAR,69.0,2.0,ADD,6.0,605794000006E2F8,25562,2.0,A,0.0,,17906,OC,,,,,,,,,
07:44:11:456525 20180108,OB_CHANGE,2_YEAR,2.0,2.0,ADD,6.0,605794000006E2F9,25560,2.0,A,0.0,,17907,OC,,,,,,,,,
07:44:11:456553 20180108,OB_CHANGE,2_YEAR,71.0,1.0,ADD,6.0,605794000006E2FA,25562,1.0,A,0.0,,17908,OC,,,,,,,,,
07:44:11:456654 20180108,OB_CHANGE,2_YEAR,3.0,1.0,ADD,6.0,605794000006E2FF,25560,1.0,A,1.0,,17909,OC,,,,,,,,,
07:44:11:456684 20180108,OB_CHANGE,2_YEAR,73.0,2.0,ADD,6.0,605794000006E300,25562,2.0,A,0.0,,17910,OC,,,,,,,,,
07:44:11:456766 20180108,OB_CHANGE,2_YEAR,4.0,2.0,ADD,6.0,605794000006E301,25560,2.0,A,0.0,,17911,OC,,,,,,,,,
