Sequence,Action,Qty,Price,Liquidity,Direction
224,+1,1,99.734375,15485.8828125,Up
225,-1,1,99.9296875,15385.953125,Down
226,+1,1,99.7265625,15485.6796875,Up
227,-1,1,99.9375,15385.7421875,Down
228,+10,10,99.8125,16383.8671875,Up
229,+10,10,99.8046875,17381.9140625,Up
230,+10,10,99.796875,18379.8828125,Up
231,-10,10,99.8359375,17381.5234375,Down
232,-10,10,99.84375,16383.0859375,Down
233,-10,10,99.8515625,15384.5703125,Down
234,+10,10,99.7890625,16382.4609375,Up
235,+10,10,99.78125,17380.2734375,Up
236,-10,10,99.859375,16381.6796875,Down
237,-10,10,99.8671875,15383.0078125,Down
238,-7,7,99.8359375,14684.15625,Down
239,+62,62,99.8046875,20872.046875,Up
240,+65,65,99.796875,27358.84375,Up
241,+65,65,99.7890625,33845.1328125,Up
242,+62,62,99.78125,40031.5703125,Up
243,+61,61,99.7734375,46117.75,Up
244,+61,61,99.765625,52203.453125,Up
245,-62,62,99.859375,46012.171875,Down
246,-65,65,99.8671875,39520.8046875,Down
247,-65,65,99.875,33028.9296875,Down
248,-62,62,99.8828125,26836.1953125,Down
249,-61,61,99.890625,20742.8671875,Down
250,-61,61,99.8984375,14649.0625,Down
251,+1,1,99.8203125,14748.8828125,Up
252,-1,1,99.84375,14649.0390625,Down
253,-1,1,99.8515625,14549.1875,Down
254,+1,1,99.8125,14649.0,Up
255,+1,1,99.8046875,14748.8046875,Up
256,-1,1,99.859375,14648.9453125,Down
257,-1,1,99.8671875,14549.078125,Down
258,+1,1,99.796875,14648.875,Up
259,-1,1,99.875,14549.0,Down
260,+1,1,99.7890625,14648.7890625,Up
261,+1,1,99.78125,14748.5703125,Up
262,-1,1,99.8828125,14648.6875,Down
263,+1,1,99.7734375,14748.4609375,Up
264,-1,1,99.890625,14648.5703125,Down
265,+1,1,99.765625,14748.3359375,Up
266,-1,1,99.8984375,14648.4375,Down
267,-1,1,99.90625,14548.53125,Down
268,+1,1,99.7578125,14648.2890625,Up
269,-1,1,99.9140625,14548.375,Down
270,+1,1,99.75,14648.125,Up
271,-1,1,99.921875,14548.203125,Down
272,+1,1,99.7421875,14647.9453125,Up
273,-1,1,99.9296875,14548.015625,Down
274,+1,1,99.734375,14647.75,Up
275,+1,1,99.7265625,14747.4765625,Up
276,-1,1,99.9375,14647.5390625,Down
277,-56,56,99.8515625,9055.8515625,Down
278,-7,7,99.84375,8356.9453125,Down
279,+1,1,99.828125,8456.7734375,Up
280,-1,1,99.8359375,8356.9375,Down
281,-7,7,99.8359375,7658.0859375,Down
282,-5,5,99.8671875,7158.75,Down
283,-5,5,99.8515625,6659.4921875,Down
284,-5,5,99.859375,6160.1953125,Down
285,-5,5,99.875,5660.8203125,Down
286,-5,5,99.8828125,5161.40625,Down
287,-5,5,99.8671875,4662.0703125,Down
288,-5,5,99.859375,4162.7734375,Down
289,-5,5,99.875,3663.3984375,Down
290,-5,5,99.8828125,3163.984375,Down
291,-5,5,99.890625,2664.53125,Down
292,+5,5,99.8046875,3163.5546875,Up
293,+5,5,99.8125,3662.6171875,Up
294,+5,5,99.796875,4161.6015625,Up
295,+5,5,99.7890625,4660.546875,Up
296,+5,5,99.78125,5159.453125,Up
297,+5,5,99.8046875,5658.4765625,Up
298,+5,5,99.796875,6157.4609375,Up
299,+5,5,99.7890625,6656.40625,Up
300,+5,5,99.78125,7155.3125,Up
301,+5,5,99.7734375,7654.1796875,Up
302,-5,5,99.8984375,7154.6875,Down
303,-1,1,99.8359375,7054.8515625,Down
304,+20,20,99.8203125,9051.2578125,Up
305,+12,12,99.8203125,10249.1015625,Up
306,+18,18,99.8203125,12045.8671875,Up
