minute,event_count
2018-01-08 04:01:00,57
2018-01-08 04:02:00,8
2018-01-08 04:03:00,20
2018-01-08 04:04:00,8
2018-01-08 04:05:00,14
2018-01-08 04:06:00,18
2018-01-08 04:07:00,11
2018-01-08 04:08:00,9
2018-01-08 04:09:00,130
2018-01-08 04:10:00,2
2018-01-08 04:11:00,33
2018-01-08 04:12:00,42
2018-01-08 04:13:00,24
2018-01-08 04:14:00,46
2018-01-08 04:16:00,55
2018-01-08 04:17:00,45
2018-01-08 04:18:00,15
2018-01-08 04:19:00,60
2018-01-08 04:20:00,23
2018-01-08 04:21:00,31
2018-01-08 04:22:00,30
2018-01-08 04:23:00,38
2018-01-08 04:24:00,10
2018-01-08 04:25:00,3
2018-01-08 04:26:00,15
2018-01-08 04:27:00,9
2018-01-08 04:28:00,4
2018-01-08 04:29:00,44
2018-01-08 04:30:00,21
2018-01-08 04:31:00,33
2018-01-08 04:32:00,9
2018-01-08 04:33:00,324
2018-01-08 04:34:00,139
2018-01-08 04:35:00,70
2018-01-08 04:36:00,57
2018-01-08 04:37:00,16
2018-01-08 04:38:00,77
2018-01-08 04:39:00,45
2018-01-08 04:40:00,21
2018-01-08 04:41:00,33
2018-01-08 04:42:00,96
2018-01-08 04:43:00,129
2018-01-08 04:44:00,42
2018-01-08 04:46:00,1
2018-01-08 04:47:00,95
2018-01-08 04:48:00,79
2018-01-08 04:49:00,91
2018-01-08 04:50:00,24
2018-01-08 04:51:00,65
2018-01-08 04:52:00,12
2018-01-08 04:53:00,12
2018-01-08 04:54:00,16
2018-01-08 04:55:00,21
2018-01-08 04:56:00,64
2018-01-08 04:57:00,50
2018-01-08 04:58:00,128
2018-01-08 04:59:00,125
2018-01-08 05:00:00,142
2018-01-08 05:01:00,181
2018-01-08 05:02:00,59
2018-01-08 05:03:00,31
2018-01-08 05:04:00,8
2018-01-08 05:05:00,185
2018-01-08 05:06:00,283
2018-01-08 05:07:00,67
2018-01-08 05:08:00,27
2018-01-08 05:09:00,163
2018-01-08 05:10:00,11
2018-01-08 05:11:00,3
2018-01-08 05:12:00,110
2018-01-08 05:13:00,16
2018-01-08 05:14:00,19
2018-01-08 05:15:00,1
2018-01-08 05:16:00,8
2018-01-08 05:17:00,4
2018-01-08 05:19:00,67
2018-01-08 05:20:00,18
2018-01-08 05:21:00,31
2018-01-08 05:22:00,25
2018-01-08 05:23:00,7
2018-01-08 05:24:00,20
2018-01-08 05:25:00,11
2018-01-08 05:26:00,8
2018-01-08 05:28:00,8
2018-01-08 05:29:00,15
2018-01-08 05:30:00,11
2018-01-08 05:31:00,26
2018-01-08 05:32:00,12
2018-01-08 05:33:00,14
2018-01-08 05:34:00,3
2018-01-08 05:35:00,4
2018-01-08 05:36:00,4
2018-01-08 05:37:00,7
2018-01-08 05:38:00,3
2018-01-08 05:39:00,17
2018-01-08 05:40:00,4
2018-01-08 05:41:00,7
2018-01-08 05:42:00,8
2018-01-08 05:43:00,11
2018-01-08 05:44:00,2
2018-01-08 05:45:00,3
2018-01-08 05:46:00,8
2018-01-08 05:47:00,9
2018-01-08 05:48:00,2
2018-01-08 05:49:00,2
2018-01-08 05:50:00,136
2018-01-08 05:51:00,88
2018-01-08 05:52:00,12
2018-01-08 05:53:00,28
2018-01-08 05:54:00,55
2018-01-08 05:56:00,115
2018-01-08 05:57:00,25
2018-01-08 05:59:00,2
2018-01-08 06:00:00,14
2018-01-08 06:01:00,26
2018-01-08 06:02:00,80
2018-01-08 06:03:00,2
2018-01-08 06:05:00,1
2018-01-08 06:06:00,5
2018-01-08 06:07:00,17
2018-01-08 06:08:00,30
2018-01-08 06:09:00,10
